tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location,cluster
2021-12-12,49,63.0,43,17,42,34,63,PM25,SEDANG,DKI3,1
2021-12-13,53,68.0,44,11,34,23,68,PM25,SEDANG,DKI3,1
2021-12-14,51,76.0,46,15,37,26,76,PM25,SEDANG,DKI4,1
2021-12-15,69,124.0,44,19,50,30,124,PM25,TIDAK SEHAT,DKI4,0
2021-12-16,78,136.0,43,20,34,36,136,PM25,TIDAK SEHAT,DKI4,0
2021-12-17,58,81.0,43,18,57,35,81,PM25,SEDANG,DKI4,1
2021-12-18,51,69.0,42,18,54,32,69,PM25,SEDANG,DKI4,1
2021-12-19,65,102.0,41,24,78,45,102,PM25,TIDAK SEHAT,DKI4,0
2021-12-20,57,86.0,42,13,58,20,86,PM25,SEDANG,DKI4,1
2021-12-21,62,74.0,42,19,39,49,74,PM25,SEDANG,DKI1,1
2021-12-22,65,98.0,56,28,54,65,98,PM25,SEDANG,DKI4,2
2021-12-23,70,99.0,57,19,44,44,99,PM25,SEDANG,DKI2,0
2021-12-24,36,65.0,53,15,36,52,65,PM25,SEDANG,DKI4,1
2021-12-25,56,85.0,56,23,35,62,85,PM25,SEDANG,DKI4,2
2021-12-26,44,71.0,51,15,37,34,71,PM25,SEDANG,DKI4,1
2021-12-27,75,121.0,61,23,40,47,121,PM25,TIDAK SEHAT,DKI4,0
2021-12-28,59,89.0,53,16,34,33,89,PM25,SEDANG,DKI4,1
2021-12-29,61,98.0,54,15,37,29,98,PM25,SEDANG,DKI4,0
2021-12-30,60,102.0,53,17,38,44,102,PM25,TIDAK SEHAT,DKI4,0
2021-12-31,64,90.0,52,44,37,53,90,PM25,SEDANG,DKI4,2
