tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location,cluster
2021-05-06,57,77.0,53,16,66,38,77,PM25,SEDANG,DKI4,1
2021-05-07,67,83.0,61,26,151,45,151,O3,TIDAK SEHAT,DKI3,0
2021-05-08,60,87.0,53,12,71,28,87,PM25,SEDANG,DKI4,0
2021-05-09,46,66.0,46,9,61,21,66,PM25,SEDANG,DKI4,1
2021-05-10,55,76.0,51,10,66,21,76,PM25,SEDANG,DKI3,1
2021-05-11,69,102.0,50,12,57,24,102,PM25,TIDAK SEHAT,DKI4,0
2021-05-12,67,105.0,52,10,63,21,105,PM25,TIDAK SEHAT,DKI4,0
2021-05-13,81,115.0,49,14,48,20,115,PM25,TIDAK SEHAT,DKI5,0
2021-05-14,56,81.0,51,9,52,14,81,PM25,SEDANG,DKI5,1
2021-05-15,62,89.0,54,11,40,19,89,PM25,SEDANG,DKI4,1
2021-05-16,54,92.0,50,9,52,16,92,PM25,SEDANG,DKI4,1
2021-05-17,54,75.0,55,11,51,24,75,PM25,SEDANG,DKI5,1
2021-05-18,41,58.0,48,10,49,26,58,PM25,SEDANG,DKI3,1
2021-05-19,61,99.0,52,17,55,36,99,PM25,SEDANG,DKI4,0
2021-05-20,66,103.0,53,12,56,27,103,PM25,TIDAK SEHAT,DKI4,0
2021-05-21,60,95.0,58,15,65,34,95,PM25,SEDANG,DKI4,0
2021-05-22,64,90.0,62,16,66,36,90,PM25,SEDANG,DKI2,0
2021-05-23,73,109.0,64,31,57,40,109,PM25,TIDAK SEHAT,DKI5,2
2021-05-24,86,118.0,74,26,72,38,118,PM25,TIDAK SEHAT,DKI4,0
2021-05-25,56,70.0,52,15,66,35,70,PM25,SEDANG,DKI5,1
2021-05-26,62,93.0,52,12,64,24,93,PM25,SEDANG,DKI4,0
2021-05-27,60,79.0,52,10,62,20,79,PM25,SEDANG,DKI4,1
2021-05-28,66,93.0,53,12,63,24,93,PM25,SEDANG,DKI4,0
2021-05-29,60,91.0,46,14,66,32,91,PM25,SEDANG,DKI4,0
2021-05-30,53,72.0,55,17,51,29,72,PM25,SEDANG,DKI4,1
2021-05-31,62,93.0,49,20,71,37,93,PM25,SEDANG,DKI4,0
2021-06-01,73,105.0,50,18,64,35,105,PM25,TIDAK SEHAT,DKI3,0
2021-06-02,68,100.0,54,20,76,38,100,PM25,SEDANG,DKI4,0
2021-06-03,68,93.0,57,20,61,41,93,PM25,SEDANG,DKI2,0
2021-06-04,66,100.0,48,13,76,30,100,PM25,SEDANG,DKI4,0
2021-06-05,64,93.0,51,20,65,38,93,PM25,SEDANG,DKI4,0
2021-06-06,63,95.0,50,15,72,32,95,PM25,SEDANG,DKI3,0
2021-06-07,61,86.0,52,15,68,31,86,PM25,SEDANG,DKI4,0
2021-06-08,70,103.0,53,16,72,38,103,PM25,TIDAK SEHAT,DKI4,0
2021-06-09,68,108.0,54,14,67,34,108,PM25,TIDAK SEHAT,DKI4,0
2021-06-10,71,108.0,56,23,48,47,108,PM25,TIDAK SEHAT,DKI4,0
2021-06-11,65,99.0,51,15,61,40,99,PM25,SEDANG,DKI4,0
2021-06-12,67,93.0,54,17,57,35,93,PM25,SEDANG,DKI4,0
2021-06-13,55,80.0,52,14,58,25,80,PM25,SEDANG,DKI4,1
2021-06-14,69,103.0,53,13,58,26,103,PM25,TIDAK SEHAT,DKI4,0
2021-06-15,73,114.0,52,13,44,29,114,PM25,TIDAK SEHAT,DKI3,0
2021-06-16,67,97.0,66,25,43,55,97,PM25,SEDANG,DKI5,2
2021-06-17,66,102.0,51,28,44,41,102,PM25,TIDAK SEHAT,DKI4,0
2021-06-18,77,102.0,59,23,49,45,102,PM25,TIDAK SEHAT,DKI4,0
2021-06-19,64,102.0,59,21,41,45,102,PM25,TIDAK SEHAT,DKI4,0
2021-06-20,81,140.0,66,26,44,58,140,PM25,TIDAK SEHAT,DKI4,2
2021-06-21,62,90.0,55,16,44,35,90,PM25,SEDANG,DKI4,0
2021-06-22,59,84.0,54,16,38,35,84,PM25,SEDANG,DKI4,1
